lib,target,optlag,Optlag_rho,Dist
14,15200,-2,0.550444909690274,2224.26029636466
14,15403,-9,0.416574397432797,2779.00760832824
14,15552,-9,0.48130186348247,3053.33024210578
14,16591,0,0.414676690701554,12213.4017465784
154,15,-7,0.476692527156632,2521.18061534851
157,15,0,0.435542651370552,2719.54668469646
1335,15,-9,0.445458376876225,3257.08416182736
15,1345,-7,0.413215904562014,5687.79070967652
1511,15,-9,0.420069792479831,6827.32221202767
1539,15,-1,0.411195686766507,2899.63562548166
15,1651,-4,0.418280606249248,4570.56785158973
1662,15,-9,0.448365760804572,4720.62090496008
14238,15,0,0.422063904726143,3794.51033516995
15,14677,0,0.432021136360405,3104.79534437305
15,15458,0,0.496567793489771,5740.79387447351
15639,15,-9,0.407439014584225,6679.26372149397
15,15811,-1,0.419071054499176,6827.85527048754
15,16011,-1,0.523769752201106,3222.74055631156
16400,15,-9,0.436504081635837,4893.616188634
15,16605,-6,0.532897883352205,14819.6456884822
175,117,-3,0.416119025246845,15259.7766528357
117,1421,-7,0.422788492345011,3945.33312438907
117,14957,-8,0.461246999947851,2189.91576426755
117,15176,-6,0.531777720581705,4127.03535523896
117,16520,-9,0.434990474701267,16305.2687111435
117,16602,-6,0.466855253661318,16229.0818618351
132,144,0,0.442363642287572,1507.24498873712
157,132,-1,0.416007377437081,4406.85839101996
161,132,-1,0.416972827347622,4921.79956245917
175,132,-8,0.443514595126825,13157.0583561846
951,132,-7,0.455715177465855,10854.1490052682
1284,132,-1,0.446627971062353,477.658047507627
1296,132,-9,0.498161423504594,1769.2353721374
132,1340,0,0.557527792987149,932.863469707213
1355,132,-2,0.410689020020215,1214.1762731425
1392,132,-9,0.472105027731393,1449.59339705318
1468,132,-1,0.498436519061429,1864.89702087708
1481,132,0,0.424854116070891,4323.46504947533
1511,132,-6,0.423221088345449,5023.89736572908
1519,132,-7,0.456131736112191,5260.07851387976
1567,132,0,0.406059904041788,7538.49176803499
1575,132,-8,0.472983912224396,4455.01959450139
1612,132,-6,0.487973991684849,5869.80036491932
132,1650,-5,0.533425929235022,13643.8866003436
