LakeNo,Temp2m,Preciptn,SLH,SM,SSH,SurPressure,Temp2mmax,SolarRadiation,Windspeed
14,0,0,0.189168564423038,0,0,0.0562137275217785,0,0,0.123746183319409
15,0,0.110574905852255,0.163774368228172,0.167885092294608,0.213123777792922,0.0923129841990677,0,0.152553595931397,0.156724177307076
67,0,0.0891579235095232,0,0,0.0831163667962728,0,0,0,0
77,0,0.206921022215097,0.153790127691495,0.265394102922801,0.230680836468038,0,0,0.116637668844722,0.15915568878855
117,0.187454851991283,0.231029276209879,0.189022320735036,0.38320079835426,0.308061327011439,0.146612157143949,0.182560696924055,0.0655617904929603,0.2989174962696
132,0.110255245323558,0,0,0,0,0.257668760590389,0.0889115064670788,0.13981282394348,0
137,0.119701018951924,0,0,0,0.0872689640237121,0.169629900833218,0.115655038049037,0.209359868631498,0
138,0.214576537557731,0,0,0,0,0,0.154054426338833,0,0
139,0,0,0,0,0,0,0,0.14692007656072,0
140,0.156283592728506,0,0,0.207103316802047,0.0353112022131454,0.150178982600247,0,0.19255557474785,0.09103637587043
141,0.200942153571329,0.101553147708573,0,0,0.103621224950208,0,0.202329363094926,0.161516110836773,0
142,0.058642718979147,0,0,0,0.178650516583716,0,0,0.124231570360218,0
144,0.155072290335818,0,0,0.24106153171458,0.103273349559214,0.182430227251131,0,0,0
146,0.156062074388878,0,0,0.126291513690262,0.0488276553731208,0.121525850601546,0.151597954335288,0,0
150,0.277285038470723,0,0.179891692076788,0,0,0,0.266118033043914,0,0
152,0.107795184401973,0,0,0,0.130059531347673,0.155327884608066,0.115916630104262,0.0408609343418598,0.261570263248016
153,0.197428642871113,0,0,0,0,0,0.172145227126615,0,0
154,0,0,0.109583313362342,0,0,0,0,0,0.180669003237944
157,0,0,0,0,0,0,0,0,0.198732859401902
158,0,0.104708108766135,0,0,0,0,0,0.202037048232395,0.232632719890546
161,0,0,0,0,0,0,0,0,0
165,0,0,0,0.318793392473462,0.253888379959388,0,0,0.188846071822985,0
166,0,0,0,0,0.164053111393267,0,0,0,0
170,0,0,0,0,0.275564660377534,0,0,0,0
171,0,0.205984217941403,0,0.26991423119864,0.189692768770034,0,0,0,0
175,0,0.0882118203496092,0,0.220623684131399,0,0,0,0,0
786,0,0,0.172191279631089,0.296675894743775,0.350561184994786,0,0,0.187502512265829,0
789,0,0,0,0,0,0,0.129521716755351,0,0
790,0,0,0.0645470076505825,0.161468076231159,0.215222741071803,0,0,0,0.0770697545371388
791,0,0.115376735797742,0,0.16731279953375,0.107404006432285,0.104611984947346,0,0,0
792,0.0851278144299266,0.165118612305958,0,0,0.246208704771704,0,0.106699320544508,0,0
794,0,0.174600408903525,0.271323031015599,0.301211169684928,0,0,0,0,0
795,0,0,0.152873862885403,0,0,0,0,0,0.154773990468562
796,0.105154879078062,0,0.0688781861422839,0,0,0,0,0,0
797,0.127951106226995,0,0.0985896322401223,0.13565286944703,0.178796086002908,0,0.141606964528732,0,0
798,0,0,0.305639959800143,0.330071005477558,0.351151215561731,0,0,0.253601684748159,0
800,0,0,0,0,0,0.164558892133149,0,0.133573292131961,0.104692855905481
801,0,0,0,0,0,0.110165368868148,0,0,0
804,0.120930571634723,0,0.168548635210862,0.320547336408364,0.151243479210689,0,0.138881076333021,0.204354445775968,0
805,0.116201325597651,0,0,0,0,0,0.127875802166638,0,0
806,0,0,0,0,0,0,0,0,0
807,0.116820627473128,0.132881371203818,0,0.301056500666846,0.0995381168742203,0,0.155835674104018,0.0740711043591423,0
808,0,0,0,0.146424436797261,0,0,0,0.043295073588748,0
809,0.18820144979393,0,0.2178855995033,0.557001318791576,0.337841786114933,0,0.191510177938093,0.0553240117052486,0
810,0,0,0,0.113464780629413,0,0,0,0,0
811,0,0,0.218268059180423,0.267944814803207,0,0.132745817769768,0,0.17051804511895,0
812,0,0.120735493340373,0.202501001943463,0.2850164277465,0.266503966280992,0,0,0,0
813,0,0,0,0,0,0,0,0,0
814,0.102423610770802,0,0,0,0,0.0274132398112018,0.124472549736831,0,0
815,0,0.169069170976416,0.057954911527497,0,0.161581211409145,0,0,0,0
816,0,0,0,0,0,0,0,0.129576535810848,0
819,0,0,0,0,0,0,0,0.138635625240674,0
821,0,0.160066935747181,0,0.211699996035176,0,0,0,0,0
822,0,0,0,0,0,0,0,0,0
823,0,0,0.0789762627911033,0.128204672965268,0.0994736662858183,0,0,0,0
824,0.101042090559861,0,0.077687076355438,0,0.174816405516779,0,0.0749206247208087,0,0
825,0,0,0,0.331203551389113,0,0,0.156149882549848,0.0789428765247798,0
826,0.16386750247508,0,0,0,0,0.121597455646096,0.147587762676704,0,0.105043629173472
829,0,0,0,0,0,0,0,0.179340242282175,0
830,0,0.0926152300311465,0.136593994420204,0.171605228863986,0,0,0,0.167346281150287,0.168766602773884
831,0.220121238384022,0,0,0.226135485193831,0,0,0.244716267436433,0.113673500372491,0
832,0.16659377693331,0,0,0,0,0,0.182203993916644,0.111129890524904,0
833,0,0,0,0,0,0,0,0,0
835,0.271566621140507,0.131348362016165,0,0.288677175371722,0.113850691998861,0,0.323975440916447,0,0
836,0,0.144281779666206,0,0.242742462012875,0,0,0,0,0
837,0,0,0,0,0.0958764951579877,0,0,0,0
838,0,0,0,0,0,0,0,0,0
841,0.276460324265281,0.0251914648586273,0.117227398062389,0.282074639545964,0.128790870817109,0,0.315323687324732,0.162008771421483,0.132524517856691
842,0,0.103174954189201,0,0.0891911113623268,0.168241789104921,0,0.159140590882019,0,0
843,0,0.12601718068723,0.0991192416430279,0.232911665750477,0,0,0,0,0
844,0,0,0.121199349475456,0,0,0,0,0,0.146492502238094
846,0.168077217793195,0,0,0.137816134168816,0,0,0.181900880474999,0,0.146307400314752
847,0.11827721294957,0,0,0.202955266509949,0,0,0.124113124243318,0.111214550434785,0
951,0,0,0.165914846628049,0.248020127573175,0.24884921901774,0,0,0,0
1227,0.175153403471705,0,0,0,0,0,0.159867359687723,0,0
1237,0,0,0,0,0,0,0,0,0
1242,0.1337267622263,0,0.0823558204005139,0,0,0,0.155490085951692,0.11745937293954,0
1251,0.0985682415137569,0.212034509496616,0.17377061658227,0,0,0.140007972486969,0.0686316161474238,0.114814758035609,0
1260,0.156072181788684,0,0,0.273347912514412,0,0,0.13981079839257,0,0
1261,0.113457297854301,0,0,0,0,0,0.111196404330537,0,0
1265,0,0,0.173460946904318,0,0.13183841802865,0,0.193005954880991,0,0.112127204971412
1274,0,0.0723549947313226,0.128645812617169,0.161527041951549,0,0.127701641216768,0,0,0
1275,0,0.106441362738639,0.154132583577281,0.304370420926839,0,0,0,0.175254323443777,0
1279,0,0,0,0.140943993542674,0.0821763795050672,0,0,0.149963710061794,0
1282,0,0,0.0895573546952087,0.143061863319274,0,0.149209567059571,0,0,0
1284,0.183894816703535,0,0.138322261058312,0.266316723855186,0.175121047021047,0,0.185657719526091,0.166557639991462,0.0944457026083564
1292,0.188667156615586,0,0.270781154907991,0,0.248348393283829,0,0,0,0.105565166834985
1294,0,0,0.339981704351386,0.260809762046065,0,0,0,0,0
1296,0,0,0,0,0,0,0,0.15275071648354,0
1298,0.201194059955924,0,0.235358299130433,0.212552141108437,0,0.0628293802272484,0.179058876877656,0,0.122355415554118
1301,0.227231712526508,0.082792406642152,0,0,0,0.11245346076286,0,0,0.188151088784772
1302,0,0,0,0,0,0,0,0,0
1303,0.228099988419651,0,0,0,0.212884317905099,0,0.23247427312569,0,0
1307,0.179883177288235,0,0,0,0.115818158787453,0,0,0,0
1308,0.100230635005627,0,0,0,0,0,0,0,0
1310,0,0,0,0,0.100266391331671,0.140829483466577,0,0,0
1312,0,0.214518611430683,0.184846782352858,0.221174729261475,0.218933671083767,0.230350769309533,0,0,0
1313,0.211363617955077,0,0,0.240181875375551,0,0.0841891274794836,0.209262270670559,0,0.0777309813977303
1316,0,0,0,0,0,0,0,0,0
1319,0,0,0,0.180118479077751,0.187877724210671,0.20191641342515,0,0,0
1321,0,0,0.137535987224971,0,0.204694287490793,0,0,0,0
1322,0,0,0.256892516100529,0.310174955127256,0,0.254093147606783,0,0,0.0818163666255559
1324,0.175983154185352,0,0.109054496463109,0,0,0,0.190697752555458,0,0
1326,0,0,0,0,0.0732141109894893,0,0,0,0
1327,0.145404384681937,0,0,0.268594071244198,0.110724004076241,0.088318862749564,0.141083545523237,0,0
1332,0,0.177541323427283,0,0,0,0.16988349649802,0,0,0
1333,0.292541872467931,0.0986036718616429,0,0,0.262617493687879,0.0453275116876675,0.196285992451997,0.217427495704709,0
1335,0.0678116248845003,0,0,0.250327038433332,0.36864295580058,0,0.0833427898710099,0,0
1337,0,0.187766285588621,0,0.0963377715855448,0,0,0,0.0999024109398276,0
1339,0.146305226623205,0,0,0,0.108247116754906,0.117194733439238,0,0.110461942767911,0.0449006871800963
1340,0,0,0.103989628777522,0.195319400104206,0.0869947369716648,0,0,0,0
1342,0,0,0.131784631605509,0,0.164138749190758,0,0,0,0
1343,0,0,0,0.240220302826127,0,0,0,0.0623787690329005,0
1344,0,0,0.245866304821622,0,0.300874033404003,0,0,0.17976359467425,0
1345,0.178784942360429,0,0,0,0,0,0.160499995667515,0.102470078637071,0.1149651645668
1348,0,0,0,0.130773495752895,0,0.0848676820778645,0,0,0
1349,0,0,0,0,0,0,0,0,0.0672355340061374
1353,0.129832358338052,0,0,0,0,0,0.134300994193368,0,0
1355,0.143862031564049,0,0.453789708409729,0.374761001586121,0.35501436645028,0.111790268103015,0.137774558614496,0,0.145159637562029
1358,0,0,0,0,0.126358205630354,0,0,0,0.0648337867219087
1362,0,0,0,0,0,0,0,0,0
1365,0.150080791630162,0.167951704317117,0,0,0,0.264339761079858,0.173803653412506,0.143602509582252,0
1368,0,0.164954970120007,0,0.245615083964094,0,0,0,0,0
1373,0.160905843361558,0.108915350744293,0.242064525427938,0.151117820023108,0.123098778471951,0,0,0,0.0497373479322334
1374,0.251755239868241,0,0,0.226814271842942,0.200773400992331,0,0.219367957044149,0.176888272270627,0.263047337067316
1389,0.233090827932009,0,0.0843526402203904,0,0,0,0.228182633797064,0.163258608336505,0.0914208535687179
1392,0,0.216868774563732,0.259764251230908,0.294894033099937,0,0,0.272708813358789,0.142411956411927,0
1393,0,0.158736568425941,0.177657333892493,0,0.204430014614334,0.183184434419255,0.10083460721544,0.157121273237207,0
1394,0.334606213223558,0,0.152662082283256,0.24861201029941,0.111386539332233,0.162444012055872,0.321303508283721,0.085659981002658,0.132282627893945
1398,0,0.0756047443986662,0,0,0,0.0821634997881127,0,0,0
