lib,target,optlag,Optlag_rho,Dist
15,14,-8,0.369922893621466,4906.32345750507
138,14,-8,0.301529499658759,1156.09531085997
139,14,0,0.25424875129487,698.981212004335
142,14,-6,0.213108169398598,803.298393711475
144,14,-6,0.383856317854936,1221.33862875131
146,14,0,0.298728572046513,1298.96980922609
158,14,-8,0.39030320194806,4547.5595070599
166,14,0,0.345908793228967,5884.37352709341
797,14,-2,0.487050944224428,10555.5721820691
800,14,-3,0.250927820213025,10503.6653409176
801,14,0,0.380135047643514,10559.0824554782
804,14,-3,0.247657392231836,10733.2833293253
816,14,-4,0.425744656234701,10527.9718280183
829,14,-7,0.326202302026208,11661.5951152899
831,14,-6,0.324715647532209,11502.0340863415
833,14,-1,0.349937918992747,10805.7959419501
951,14,-2,0.390111370863546,12118.4951915415
1296,14,-6,0.461011523272929,3356.30516751095
1298,14,-1,0.368469014029675,3939.15357008444
1308,14,-5,0.43900219713701,669.643372973361
1313,14,-3,0.482675677758911,571.974409112825
1316,14,-7,0.322842763248048,927.677409424407
1327,14,-3,0.299786471529079,935.520268633596
1339,14,-8,0.221488297902239,3186.95257706335
1340,14,-6,0.292326223623942,1970.6859034804
1345,14,-3,0.234167417778039,1087.04895474924
1353,14,-2,0.360380459387095,3600.40054766663
1355,14,-9,0.248456142940848,1070.43710243376
1358,14,-9,0.272124068527974,4095.60655626644
1365,14,-5,0.200853578476098,1465.89592707132
1368,14,-9,0.283719996020895,4047.37679378596
1392,14,-8,0.256199253824169,1257.09217146173
1393,14,-1,0.522098063940354,4186.72344550803
1407,14,-7,0.240513498031111,1262.61094151209
1450,14,-7,0.391558689438928,3159.69707653992
1495,14,-2,0.322858000508086,2901.40467070218
1496,14,-1,0.384145323702029,3217.07448845176
1498,14,-9,0.433811192908271,3098.06146438793
1502,14,-1,0.371844473154429,3574.95164600112
1507,14,-8,0.299234023406138,3180.46137022596
1511,14,-6,0.410287999012018,3470.1963865535
1523,14,-2,0.252900450533913,6860.00952179647
1539,14,0,0.279487953573039,3345.61759847584
1543,14,0,0.449289230000122,3794.6863797486
1550,14,-9,0.367975691258037,6131.50344287493
1552,14,-6,0.340616970382537,5335.91761236451
1560,14,-3,0.436339272076757,3923.75523560466
1567,14,-5,0.292177480206555,5942.09090920954
1575,14,0,0.325052932064013,4245.59187497818
1585,14,-1,0.265973935343568,4843.97918795033
1591,14,-2,0.35797563165594,4981.04220287858
1627,14,-1,0.349020290718931,6486.35053766477
1631,14,-9,0.234838468022619,6420.87830787474
1635,14,-5,0.255634503582334,10929.7443089399
1644,14,-8,0.309286416775682,7085.79487991139
1647,14,-9,0.261445678013822,10785.6303015094
1651,14,-2,0.346750230862059,7559.74906209001
1657,14,-9,0.221162924300024,8008.91543638034
1661,14,-3,0.318285972644919,7934.31254197367
1663,14,-5,0.355124109946753,7990.04264146821
1693,14,-1,0.374602054721954,12418.8023851826
1695,14,-7,0.264216498936557,12921.4328571323
9197,14,-1,0.235440663473702,10576.8286780418
9228,14,-3,0.352660582959881,10599.0873269843
9308,14,-9,0.377636900658119,10070.9109622977
9322,14,0,0.480682730615916,10715.8824193933
9328,14,-7,0.206396205169045,10878.9687180076
9330,14,-3,0.489979291899331,10501.122322722
9360,14,-5,0.384454172810936,11405.9174603205
9411,14,0,0.27051453102518,11069.2117330073
9446,14,-3,0.29540883451101,11204.69900573
9462,14,-1,0.312956706126303,11168.8737822334
9484,14,-4,0.422113606826574,11264.7062980914
9516,14,-5,0.454309142048895,10948.3702343818
13539,14,0,0.242854475463687,3772.49629445544
13545,14,0,0.294168639325454,3760.15112584401
14052,14,-6,0.345899643665815,3668.40297054895
14059,14,-7,0.281527741883106,2948.53158154938
14072,14,-3,0.399859205732333,1912.99082651681
14091,14,-5,0.195092883067255,2988.22367186199
14159,14,0,0.294100100249099,3629.33697753349
14209,14,-6,0.414416781572911,2031.81492502121
14261,14,-7,0.255586915315941,2010.77439363439
14289,14,-4,0.318389999182921,4394.1817685893
14302,14,0,0.334182282790788,2056.60292832863
14306,14,-5,0.332369376904465,2389.75640569544
14309,14,-3,0.291870782379538,2149.33836159791
14430,14,-1,0.223673225447064,3403.04144668742
14431,14,0,0.311575184785777,625.01176720233
14438,14,-8,0.46394639377428,3124.1726917845
14439,14,-5,0.405768563419458,3151.04507946784
