AO,PDO,PNA,WP,EPNP,ENSO,AMO,TNA,TSA,NAO,EA,CAR,IOD,AAO
1.27,-2,-1.7,-0.21,-0.92,-1.25,0.11,-0.18,0.21,0.19,-1.97,-0.22,-0.125,1.273
1.076,-0.83,1.2,-0.41,-0.55,-1.26,0.17,-0.1,0.39,1.48,0.41,-0.2,-0.009,0.62
-0.451,0.29,0.95,0.01,-0.4,-1.37,0.36,0.06,0.4,0.4,-0.68,-0.15,0.14,0.133
-0.279,0.35,-0.58,-1.3,0.08,-0.9,0.25,-0.01,0.37,-0.18,0.33,-0.05,0.141,0.233
0.969,-0.05,-0.16,-1.46,-0.62,-0.93,0.32,-0.06,0.29,1.52,0.2,-0.04,0.113,1.127
0.586,-0.44,-1.19,0.57,-0.24,-1.18,0.14,-0.16,0.2,0.28,1.41,-0.04,-0.022,0.117
-0.649,-0.66,-2.55,1.07,-1.26,-0.61,0.2,0.01,0.15,-1,-0.27,-0.07,0.077,0.059
0.144,-1.19,-0.51,-0.86,0.63,-0.08,0.22,0.15,0.2,-0.5,-0.21,-0.04,0.131,-0.674
0.395,-1.24,-1.21,0.52,0.49,-0.35,0.25,0.02,0.02,-0.06,-0.14,-0.01,-0.096,-1.853
0.317,-1.3,0.44,1.14,-0.72,-0.52,0.2,0,0.1,1.51,1.22,0,-0.142,0.347
-1.582,-0.53,0.7,-0.23,0.2,-0.86,0.23,-0.12,0.07,-1.1,0.64,0.02,-0.306,-1.537
-2.354,0.52,0.92,-0.68,-0.3801,-0.79,0.07,-0.19,-0.01,-0.63,1.63,-0.01,-0.248,-1.29
-0.959,0.6,1.29,0.42,-0.9,-0.83,0.08,-0.13,0.16,-0.22,1.53,0,-0.431,-0.471
-0.622,0.29,-0.51,1.57,0.26,-0.86,0.23,-0.15,0.17,0.07,-0.39,0,-0.017,-0.265
-1.687,0.45,0.39,-1.05,-1.16,-0.78,0.25,0.15,0.29,-1.73,1.23,0.03,-0.01,-0.555
0.906,-0.31,-0.7,1.1,0.06,-0.55,0.15,0.05,0.38,-0.15,0.65,0.02,0.136,0.515
0.452,-0.3,-0.01,-1.16,-1.42,-0.51,0.16,0.06,0.47,0.03,0.33,0.03,0.137,-0.262
-0.015,-0.47,-0.89,0.41,0.55,-0.73,0.32,0.24,0.36,0.11,-0.14,0.06,0.127,0.386
-0.031,-1.31,-0.36,-0.32,-1.3,0.04,0.3,0.3,0.15,-0.22,0.67,0.09,-0.14,-0.928
0.52,-0.77,-0.14,-0.27,-1.17,0.38,0.45,0.34,0.14,-0.22,1.83,0.14,-0.301,0.91
-0.707,-1.37,0.04,2.28,-0.46,-0.06,0.52,0.51,0.11,-0.49,-0.98,0.11,-0.223,1.161
0.708,-1.37,-0.08,-0.58,-0.04,-0.22,0.47,0.48,0.2,0.25,1.16,0.1,-0.451,1.277
0.819,-1.26,1.03,0.79,-0.33,-0.28,0.4,0.62,0.16,0.53,-0.62,0.12,-0.245,0.996
-1.322,-0.93,0.26,-0.35,-0.308,0.06,0.51,0.66,0.01,-0.86,-0.89,0.16,-0.051,1.474
1.381,0.27,-0.7,-0.04,-0.11,0.09,0.58,0.78,0.14,0,1.68,0.19,-0.142,0.747
1.304,-0.64,-0.11,0.87,-0.89,-0.26,0.44,0.53,-0.06,0.8,1.43,0.18,-0.098,1.334
0.902,-0.43,-1.56,0.73,1.99,-0.2,0.43,0.37,0.29,0.32,0.63,0.22,0.008,-1.823
0.748,-0.32,-2.4,0.21,0.45,-0.36,0.3,-0.02,0.31,1.14,-0.19,0.22,-0.352,0.165
0.401,-0.63,-0.56,-0.79,1.52,-0.14,0.09,-0.19,0.49,-0.15,0.15,0.12,-0.329,-2.798
0.573,-0.35,0.06,-0.72,-0.2,0.34,0.01,-0.13,0.33,0.69,1.65,0,-0.19,-1.112
0.328,-0.31,0.4,-1.06,-0.69,0.44,-0.02,-0.06,0.47,0.65,0.67,-0.01,-0.26,-0.591
-0.229,0.6,0.61,-1.64,-0.07,1.01,0.22,-0.05,0.01,0.36,-0.39,0.06,-0.208,-0.099
-0.043,0.43,0.6,0.79,-0.4,0.88,0.26,0.07,-0.08,-0.54,-1.87,0.17,0.286,-0.864
-1.488,0.42,-0.55,-2.12,1.77,0.84,0.35,0.36,0.14,-1.97,0.7,0.23,0.405,-2.564
-1.425,1.51,1.46,-1.51,2.05,0.84,0.31,0.22,-0.07,-0.32,0.67,0.23,0.096,-0.924
-1.592,2.1,1.28,0.54,-0.2369,0.91,0.21,0.2,0.35,-0.96,0.62,0.2,-0.158,1.308
-0.472,2.09,1.01,-0.14,2.07,0.82,0.25,0.27,0.56,-0.32,1.11,0.23,-0.239,-0.988
0.128,1.75,0.68,0.17,0.94,0.63,0.19,0,0.57,0.26,-0.09,0.35,0.017,-0.357
0.933,1.51,-0.36,-1.01,0.56,0.53,0.31,0.04,0.63,-0.07,0.96,0.41,-0.039,-0.188
-0.178,1.18,-0.1,1.58,0.34,-0.11,0.22,0,0.42,-0.34,-0.54,0.41,-0.099,0.224
1.017,0.89,-1.85,0.03,-0.57,-0.61,0.27,0.06,0.37,0.06,1.73,0.3,-0.164,0.385
-0.102,0.68,-0.53,0.76,0.17,-0.1,0.26,0.22,0.1,0.24,1.31,0.16,0.139,-0.775
0.075,0.96,0.73,-1.94,-0.14,0.01,0.42,0.36,0.4,0.16,1.26,0.09,0.131,0.727
-0.28,0.88,-0.31,-0.9,-1.46,0.05,0.62,0.59,0.49,-0.22,-0.16,0.09,0.108,0.678
0.467,0.01,0.59,-2.17,-0.7,0.18,0.66,0.66,0.49,0.16,0.75,0.19,-0.061,-0.323
-0.67,0.83,1.23,-0.42,0.85,0.28,0.79,0.8,0.53,-0.86,-1.89,0.24,-0.243,-0.025
0.642,0.52,-1.65,0.69,-0.11,0.3,0.51,0.48,0.55,0.77,0.98,0.22,-0.159,-0.712
0.265,0.33,0.56,0.8,-0.3049,0.14,0.53,0.49,0.56,0.5,-0.49,0.19,0.189,-1.323
-1.686,0.43,-0.12,-1.58,0.66,0.19,0.51,0.5,0.41,-0.85,-0.45,0.18,0.044,0.807
-1.528,0.48,1.12,0.6,-0.5,-0.05,0.46,0.51,0.22,-0.6,0.32,0.19,0.114,-1.182
0.318,0.61,0,0.13,-1.28,-0.43,0.39,0.36,-0.01,0.67,1.21,0.16,0.077,0.432
-0.409,0.57,0.25,0.49,1.23,-0.23,0.36,0.46,-0.26,1.11,-0.34,0.07,-0.08,0.151
-0.094,0.88,-1.46,0.4,1.92,-0.46,0.17,0.17,-0.12,0.23,-1.18,0.09,-0.565,0.46
