Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat,id_int,id_str,Name,countries,continents,continen_1,area(km2),repr_point,repr_poi_1
14,Kara-Bogaz-Gol,Turkmenistan,Asia,SWBD,1,0,18666.8,961.87,1.99,1885347,0,1,101,0,-1,-30,-1,25529.4,52.912913,41.056625,197,GLWD00000197,Kara-Bogaz-Gol,Turkmenistan,AS,Asia,18739.74,41.38542,53.543041
15,Chad,Chad,Africa,Other,1,0,18751.52,817,1.68,2400,0,1,0.1,1085.078,25.6,282,-1,980211.9,14.527083,13.077083,14,GLWD00000014,Chad,Nigeria;Niger;Chad,AF,Africa,77765.9,13.475,14.125
67,Great Salt,United States of America,North America,Other,1,0,6478.85,802.83,2.81,22800,0,1,3.5,214.57,1229.8,1282,-1,86895.5,-112.83125,41.410417,26,GLWD00000026,Great Salt,United States,NA,North America,5048.12,41.178475,-112.594449
77,Sobradinho Reservoir,Brazil,South America,GRanD,2,2516,2614.96,1301.66,7.18,34100,34100,2,13,2671.621,147.7,385,-1,500631.9,-40.824117,-9.42266,19,GLWD00000019,Itaparica,Brazil,SA,South America,2538.7,-9.621521,-41.222231
117,Ijsselmeer,Netherlands,Europe,GRanD,3,6819,1962.7,466.81,2.97,8832.15,5120,1,4.5,144.89,705.5,0,-1,10569.5,5.647917,52.614583,100000012,GLBL00000012,IJsselmeer,Netherlands,EU,Europe,1138.91,52.80903,5.373843
132,Syvash,Ukraine,Europe,SWBD,1,0,1333.38,759.62,5.87,466.68,0,1,0.3,53.147,101.6,0,-1,19206.3,34.80493,46.147371,85,GLWD00000085,Sivash,Ukraine,EU,Europe,1623.84,45.963197,34.717347
137,Sarygamysh,Turkmenistan,Asia,SWBD,1,0,3772.03,496.85,2.28,46000,0,1,12.2,0,-1,2,-1,72245.2,57.452083,41.889583,241,GLWD00000241,Sarykamyshskoye,Turkmenistan;Uzbekistan,AS,Asia,3852.83,41.961114,57.360401
138,Aydar,Uzbekistan,Asia,SWBD,1,0,2742.41,2903.2,15.64,44300,0,1,16.2,0,-1,241,-1,20310.3,67.796971,40.868651,300000138,HYLA00000138,Aydar,Uzbekistan,AS,Asia,3154.91,40.795142,67.295123
139,Sevan,Armenia,Asia,SWBD,1,0,1242.22,234.35,1.88,32921,0,1,26.5,11.573,32924.1,1898,-1,4729.2,44.990916,40.552472,135,GLWD00000135,Sevan,Armenia,AS,Asia,1246.3,40.393753,45.349291
140,Tuz,Turkey,Asia,SWBD,1,0,1664.71,522.94,3.62,74911.95,0,1,45,0.438,1979535,905,-1,18630.2,33.427083,38.710417,300000140,HYLA00000140,Tuz,Turkey,AS,Asia,1035.94,38.799309,33.329847
141,Van,Turkey,Asia,SWBD,1,0,3568.73,592.14,2.8,607000,0,1,170.1,64.385,109116.4,1645,-1,17045.8,42.947917,38.64375,51,GLWD00000051,Van,Turkey,AS,Asia,3594.28,38.656253,42.80693
142,Urmia,Iran,Asia,Other,1,0,4932.76,865.66,3.48,1800,0,1,0.4,232.047,89.8,1267,-1,52200.3,45.372917,37.70625,34,GLWD00000034,Urmia,Iran Islamic Republic of,AS,Asia,4944.93,37.66042,45.527069
144,Buhayrat ath Tharthar,Iraq,Asia,SWBD,3,4472,1698.86,474.67,3.25,43500,43500,2,25.6,43.226,11647.4,44,-1,27149.5,43.460376,33.689627,77,GLWD00000077,Buhayrat ath Tharthar,Iraq,AS,Asia,1628.66,34.039587,43.204847
146,Razazah,Iraq,Asia,SWBD,2,4474,1330.22,478.41,3.7,26000,26000,2,19.5,0,-1,29,-1,67858.2,43.892708,32.697244,173,GLWD00000173,Razazah,Iraq,AS,Asia,1308.98,32.807643,43.571513
